Orthogroup	apple_prot	fruticosa_prot	peach_prot	subA___prot	subA_prot	subB_prot	sweet_cherry_prot	Total
OG0000000	0	1	3	2	1	2	1065	1074
OG0000001	0	0	1	3	0	0	759	763
OG0000002	0	2	0	0	0	0	497	499
OG0000003	0	0	1	0	0	0	337	338
OG0000004	1	86	0	33	47	126	4	297
OG0000005	1	0	0	0	0	0	267	268
OG0000006	6	1	0	120	53	68	1	249
OG0000007	246	0	0	0	0	0	0	246
OG0000008	163	2	12	17	30	18	2	244
OG0000009	0	0	0	0	0	1	243	244
OG0000010	1	0	1	0	0	0	222	224
OG0000011	0	0	0	0	0	0	213	213
OG0000012	0	0	1	0	1	0	205	207
OG0000013	0	0	0	0	0	0	198	198
OG0000014	0	85	1	13	49	37	0	185
OG0000015	11	5	5	50	73	37	2	183
OG0000016	0	1	0	0	1	0	180	182
OG0000017	0	0	0	0	0	1	173	174
OG0000018	0	0	0	0	1	0	166	167
OG0000019	159	0	0	0	0	0	0	159
OG0000020	5	52	8	16	20	16	34	151
OG0000021	0	1	0	0	0	0	148	149
OG0000022	0	0	0	0	0	1	145	146
OG0000023	13	6	0	34	46	34	8	141
OG0000024	0	54	0	15	17	25	28	139
OG0000025	3	49	14	14	18	15	16	129
OG0000026	64	18	5	7	15	11	7	127
OG0000027	1	57	17	8	7	13	21	124
OG0000028	52	3	2	9	37	12	8	123
OG0000029	19	39	12	9	13	19	10	121
OG0000030	0	0	0	1	0	0	119	120
OG0000031	7	37	14	9	15	11	22	115
OG0000032	0	11	0	2	2	43	54	112
OG0000033	7	46	3	6	20	14	15	111
OG0000034	20	13	37	6	3	3	29	111
OG0000035	4	1	0	45	34	27	0	111
OG0000036	0	3	0	0	0	0	107	110
OG0000037	106	3	0	0	0	0	0	109
OG0000038	1	42	13	16	9	15	12	108
OG0000039	5	36	14	11	16	14	8	104
OG0000040	12	22	16	12	18	9	13	102
OG0000041	26	4	18	13	14	15	10	100
OG0000042	5	33	12	12	16	13	8	99
OG0000043	0	0	0	0	0	0	99	99
