Number of species	7
Number of genes	287927
Number of genes in orthogroups	267936
Number of unassigned genes	19991
Percentage of genes in orthogroups	93.1
Percentage of unassigned genes	6.9
Number of orthogroups	31891
Number of species-specific orthogroups	6334
Number of genes in species-specific orthogroups	23677
Percentage of genes in species-specific orthogroups	8.2
Mean orthogroup size	8.4
Median orthogroup size	8.0
G50 (assigned genes)	10
G50 (all genes)	10
O50 (assigned genes)	8368
O50 (all genes)	9368
Number of orthogroups with all species present	12051
Number of single-copy orthogroups	336
Date	2022-06-21
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	12715	39.9	41185	15.4
'1	16469	51.6	155622	58.1
'2	1610	5.0	26394	9.9
'3	480	1.5	11291	4.2
'4	234	0.7	7176	2.7
'5	119	0.4	4468	1.7
'6	73	0.2	3264	1.2
'7	46	0.1	2383	0.9
'8	29	0.1	1710	0.6
'9	26	0.1	1702	0.6
'10	15	0.0	1104	0.4
11-15	42	0.1	3826	1.4
16-20	11	0.0	1397	0.5
21-50	19	0.1	4078	1.5
51-100	1	0.0	499	0.2
101-150	1	0.0	763	0.3
151-200	1	0.0	1074	0.4
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	6334
2	4041
3	1846
4	1442
5	1771
6	4406
7	12051
