Pcer_069968-RA Pfrut_059040-RA
Pcer_005843-RA Pfrut_073663-RA
Pcer_081097-RA Pfrut_094458-RA
Pcer_009393-RA Pfrut_019653-RA
Pcer_048123-RA Pfrut_043980-RA
Pcer_044801-RA Pfrut_039355-RA
Pcer_081248-RA Pfrut_082925-RA
Pcer_027248-RA Pfrut_043445-RA
Pcer_081441-RA Pfrut_082729-RA
Pcer_071297-RA Pfrut_043310-RA
Pcer_007957-RA Pfrut_033767-RA
Pcer_026884-RA Pfrut_012692-RA
Pcer_047688-RA Pfrut_016353-RA
Pcer_041983-RA Pfrut_085416-RA
Pcer_047934-RA Pfrut_020979-RA
Pcer_087953-RA Pfrut_047371-RA
Pcer_006137-RA Pfrut_098239-RA
Pcer_087931-RA Pfrut_047395-RA
Pcer_058538-RA Pfrut_062593-RA
Pcer_047982-RA Pfrut_076871-RA
Pcer_087950-RA Pfrut_047374-RA
Pcer_028213-RA Pfrut_013209-RA
Pcer_069481-RA Pfrut_052242-RA
Pcer_028344-RA Pfrut_066344-RA
Pcer_008604-RA Pfrut_089739-RA
Pcer_007393-RA Pfrut_033155-RA
Pcer_007808-RA Pfrut_033606-RA
Pcer_081609-RA Pfrut_082544-RA
Pcer_048801-RA Pfrut_076547-RA
Pcer_005597-RA Pfrut_071364-RA
Pcer_010485-RA Pfrut_004243-RA
Pcer_006293-RA Pfrut_078848-RA
Pcer_044317-RA Pfrut_038885-RA
Pcer_070033-RA Pfrut_042011-RA
Pcer_043537-RA Pfrut_062499-RA
Pcer_048911-RA Pfrut_083315-RA
Pcer_007735-RA Pfrut_033515-RA
Pcer_008241-RA Pfrut_089347-RA
Pcer_027463-RA Pfrut_067270-RA
Pcer_042054-RA Pfrut_085336-RA
Pcer_006397-RA Pfrut_098532-RA
Pcer_008068-RA Pfrut_089177-RA
Pcer_082688-RA Pfrut_048696-RA
Pcer_087864-RA Pfrut_047468-RA
Pcer_044183-RA Pfrut_038743-RA
Pcer_049364-RA Pfrut_083814-RA
Pcer_008018-RA Pfrut_074721-RA
Pcer_026556-RA Pfrut_068236-RA
Pcer_043994-RA Pfrut_038539-RA
Pcer_059603-RA Pfrut_012585-RA
Pcer_081605-RA Pfrut_082548-RA
Pcer_070888-RA Pfrut_042904-RA
Pcer_043668-RA Pfrut_065822-RA
Pcer_008302-RA Pfrut_089413-RA
Pcer_089808-RA Pfrut_090127-RA
Pcer_041767-RA Pfrut_085638-RA
Pcer_082464-RA Pfrut_026256-RA
Pcer_088783-RA Pfrut_008407-RA
Pcer_007199-RA Pfrut_005128-RA
Pcer_010480-RA Pfrut_004248-RA
Pcer_087759-RA Pfrut_047319-RA
Pcer_080350-RA Pfrut_095215-RA
