Pcer_000001-RA FUN_000145-T1
Pcer_000002-RA FUN_000146-T1
Pcer_000003-RA FUN_000147-T1
Pcer_000006-RA FUN_000153-T1
Pcer_000009-RA FUN_000158-T1
Pcer_000010-RA FUN_000159-T1
Pcer_000011-RA FUN_000160-T1
Pcer_000013-RA FUN_000161-T1
Pcer_000014-RA FUN_000162-T1
Pcer_000015-RA FUN_000163-T1
Pcer_000016-RA FUN_000164-T1
Pcer_000017-RA FUN_000165-T1
Pcer_000019-RA FUN_000166-T1
Pcer_000020-RA FUN_000167-T1
Pcer_000021-RA FUN_000168-T1
Pcer_000022-RA FUN_000175-T1
Pcer_000023-RA FUN_000177-T1
Pcer_000024-RA FUN_000178-T1
Pcer_000025-RA FUN_000179-T1
Pcer_000026-RA FUN_000181-T1
Pcer_000027-RA FUN_000182-T1
Pcer_000028-RA FUN_000183-T1
Pcer_000029-RA FUN_000184-T1
Pcer_000030-RA FUN_000185-T1
Pcer_000031-RA FUN_000186-T1
Pcer_000033-RA FUN_000187-T1
Pcer_000034-RA FUN_000188-T1
Pcer_000035-RA FUN_000189-T1
Pcer_000038-RA FUN_000192-T1
Pcer_000039-RA FUN_000194-T1
Pcer_000040-RA FUN_000195-T1
Pcer_000042-RA FUN_000196-T1
Pcer_000043-RA FUN_000197-T1
Pcer_000044-RA FUN_000198-T1
Pcer_000045-RA FUN_000199-T1
Pcer_000046-RA FUN_000200-T1
Pcer_000047-RA FUN_000201-T1
Pcer_000048-RA FUN_000202-T1
Pcer_000050-RA FUN_000204-T1
Pcer_000051-RA FUN_000205-T1
Pcer_000052-RA FUN_000206-T1
Pcer_000054-RA FUN_000209-T1
Pcer_000055-RA FUN_000210-T1
Pcer_000056-RA FUN_000211-T1
Pcer_000057-RA FUN_000212-T1
Pcer_000058-RA FUN_039900-T1
Pcer_000059-RA FUN_000213-T1
Pcer_000060-RA FUN_000214-T1
Pcer_000061-RA FUN_000216-T1
Pcer_000063-RA FUN_000217-T1
Pcer_000064-RA FUN_000219-T1
Pcer_000066-RA FUN_000220-T1
Pcer_000068-RA FUN_000224-T1
