Pcer_004238-RA Pfrut_003312-RA
Pcer_061783-RA Pfrut_073128-RA
Pcer_023275-RA Pfrut_029860-RA
Pcer_092283-RA Pfrut_080074-RA
Pcer_024021-RA Pfrut_094135-RA
Pcer_076095-RA Pfrut_017993-RA
Pcer_002737-RA Pfrut_100720-RA
Pcer_001832-RA Pfrut_014359-RA
Pcer_061591-RA Pfrut_072903-RA
Pcer_001101-RA Pfrut_015153-RA
Pcer_000491-RA Pfrut_031905-RA
Pcer_062785-RA Pfrut_046050-RA
Pcer_093021-RA Pfrut_101133-RA
Pcer_094273-RA Pfrut_030851-RA
Pcer_094894-RA Pfrut_072226-RA
Pcer_061637-RA Pfrut_058133-RA
Pcer_075893-RA Pfrut_063933-RA
Pcer_018517-RA Pfrut_011554-RA
Pcer_094049-RA Pfrut_009678-RA
Pcer_039553-RA Pfrut_082201-RA
Pcer_002141-RA Pfrut_086298-RA
Pcer_002575-RA Pfrut_086743-RA
Pcer_024192-RA Pfrut_093958-RA
Pcer_062464-RA Pfrut_045736-RA
Pcer_000185-RA Pfrut_099342-RA
Pcer_038131-RA Pfrut_000444-RA
Pcer_005280-RA Pfrut_020721-RA
Pcer_060750-RA Pfrut_076427-RA
Pcer_074818-RA Pfrut_062881-RA
Pcer_062586-RA Pfrut_073473-RA
Pcer_002497-RA Pfrut_053069-RA
Pcer_001006-RA Pfrut_015261-RA
Pcer_039717-RA Pfrut_002096-RA
Pcer_004743-RA Pfrut_002783-RA
Pcer_001981-RA Pfrut_086116-RA
Pcer_062527-RA Pfrut_045804-RA
Pcer_018703-RA Pfrut_081197-RA
Pcer_003450-RA Pfrut_081839-RA
Pcer_094900-RA Pfrut_072221-RA
Pcer_018480-RA Pfrut_011598-RA
Pcer_075035-RA Pfrut_013663-RA
Pcer_055168-RA Pfrut_028474-RA
Pcer_062523-RA Pfrut_045800-RA
Pcer_003082-RA Pfrut_081494-RA
Pcer_094734-RA Pfrut_030551-RA
Pcer_025090-RA Pfrut_099709-RA
Pcer_001937-RA Pfrut_086066-RA
Pcer_005274-RA Pfrut_035747-RA
Pcer_039593-RA Pfrut_001977-RA
Pcer_092616-RA Pfrut_080415-RA
Pcer_023038-RA Pfrut_049511-RA
Pcer_093328-RA Pfrut_005863-RA
Pcer_092462-RA Pfrut_043725-RA
Pcer_025455-RA Pfrut_097747-RA
Pcer_075222-RA Pfrut_013867-RA
Pcer_075760-RA Pfrut_060231-RA
