Pcer_011123-RA FUN_000637-T1
Pcer_029992-RA FUN_032483-T1
Pcer_014700-RA FUN_006183-T1
Pcer_083861-RA FUN_024232-T1
Pcer_022730-RA FUN_022999-T1
Pcer_032744-RA FUN_013618-T1
Pcer_013273-RA FUN_004389-T1
Pcer_079491-RA FUN_030871-T1
Pcer_084268-RA FUN_024818-T1
Pcer_066131-RA FUN_037589-T1
Pcer_019996-RA FUN_018862-T1
Pcer_012374-RA FUN_002682-T1
Pcer_066243-RA FUN_040311-T1
Pcer_033295-RA FUN_014189-T1
Pcer_033303-RA FUN_014182-T1
Pcer_051989-RA FUN_012132-T1
Pcer_011391-RA FUN_001039-T1
Pcer_013056-RA FUN_004116-T1
Pcer_033268-RA FUN_014219-T1
Pcer_029689-RA FUN_032125-T1
Pcer_011735-RA FUN_001507-T1
Pcer_011161-RA FUN_000675-T1
Pcer_067508-RA FUN_039449-T1
Pcer_015314-RA FUN_007198-T1
Pcer_034660-RA FUN_016908-T1
Pcer_035200-RA FUN_017709-T1
Pcer_066417-RA FUN_038162-T1
Pcer_033291-RA FUN_014194-T1
Pcer_052731-RA FUN_012951-T1
Pcer_021982-RA FUN_022065-T1
Pcer_051529-RA FUN_011502-T1
Pcer_085547-RA FUN_026416-T1
Pcer_051175-RA FUN_011049-T1
Pcer_085679-RA FUN_026580-T1
Pcer_013951-RA FUN_005262-T1
Pcer_012730-RA FUN_003627-T1
Pcer_013121-RA FUN_004202-T1
Pcer_034630-RA FUN_016869-T1
Pcer_030442-RA FUN_033242-T1
Pcer_067212-RA FUN_039147-T1
Pcer_010902-RA FUN_000346-T1
Pcer_084207-RA FUN_024742-T1
Pcer_011130-RA FUN_000642-T1
Pcer_015655-RA FUN_007354-T1
Pcer_011542-RA FUN_001235-T1
Pcer_065479-RA FUN_036454-T1
Pcer_021231-RA FUN_021085-T1
Pcer_022286-RA FUN_022439-T1
Pcer_051682-RA FUN_011738-T1
Pcer_067324-RA FUN_039269-T1
Pcer_013057-RA FUN_004117-T1
Pcer_079659-RA FUN_031091-T1
Pcer_022706-RA FUN_022975-T1
Pcer_020063-RA FUN_018936-T1
Pcer_011638-RA FUN_001352-T1
Pcer_085705-RA FUN_026607-T1
Pcer_015041-RA FUN_006892-T1
Pcer_012570-RA FUN_003342-T1
Pcer_031495-RA FUN_034639-T1
Pcer_022161-RA FUN_022298-T1
Pcer_013974-RA FUN_005286-T1
Pcer_013331-RA FUN_004460-T1
Pcer_083975-RA FUN_024422-T1
Pcer_035206-RA FUN_017715-T1
Pcer_021951-RA FUN_022027-T1
Pcer_051878-RA FUN_012005-T1
Pcer_067265-RA FUN_039207-T1
Pcer_052520-RA FUN_012741-T1
Pcer_013621-RA FUN_004860-T1
Pcer_031359-RA FUN_034321-T1
Pcer_034236-RA FUN_016085-T1
Pcer_012508-RA FUN_003192-T1
Pcer_015650-RA FUN_007349-T1
Pcer_084255-RA FUN_024800-T1
Pcer_085587-RA FUN_026455-T1
Pcer_034760-RA FUN_017032-T1
Pcer_029310-RA FUN_031632-T1
Pcer_021066-RA FUN_020804-T1
Pcer_079568-RA FUN_030964-T1
Pcer_030499-RA FUN_033298-T1
Pcer_011294-RA FUN_000862-T1
Pcer_014736-RA FUN_006229-T1
Pcer_015254-RA FUN_007129-T1
Pcer_067753-RA FUN_039752-T1
Pcer_022012-RA FUN_022100-T1
Pcer_085668-RA Pfrut_008686-RA
Pcer_033830-RA FUN_015391-T1
Pcer_085570-RA FUN_026439-T1
Pcer_078114-RA FUN_029045-T1
Pcer_032916-RA FUN_013834-T1
Pcer_052523-RA FUN_012745-T1
Pcer_031652-RA FUN_034859-T1
Pcer_052084-RA FUN_012233-T1
Pcer_015289-RA FUN_007174-T1
Pcer_052601-RA FUN_012823-T1
Pcer_011895-RA FUN_001692-T1
Pcer_051628-RA FUN_040028-T1
Pcer_078052-RA FUN_028861-T1
Pcer_020411-RA FUN_019446-T1
Pcer_079829-RA FUN_031291-T1
Pcer_079911-RA FUN_031387-T1
Pcer_013857-RA FUN_039955-T1
Pcer_052453-RA FUN_012687-T1
Pcer_051000-RA FUN_010745-T1
Pcer_029340-RA FUN_031659-T1
Pcer_011841-RA FUN_001625-T1
Pcer_012449-RA FUN_002932-T1
Pcer_052190-RA FUN_012363-T1
Pcer_067813-RA FUN_039813-T1
Pcer_011269-RA FUN_000821-T1
Pcer_030369-RA FUN_033151-T1
Pcer_011313-RA FUN_000918-T1
Pcer_015647-RA FUN_007346-T1
Pcer_033412-RA FUN_014507-T1
Pcer_085687-RA FUN_026589-T1
Pcer_084401-RA FUN_024969-T1
Pcer_033226-RA FUN_014277-T1
Pcer_067154-RA FUN_039089-T1
Pcer_051807-RA FUN_011916-T1
Pcer_078126-RA FUN_029061-T1
Pcer_022151-RA FUN_022282-T1
Pcer_020352-RA FUN_019367-T1
Pcer_067786-RA FUN_039786-T1
Pcer_034556-RA FUN_016586-T1
Pcer_079586-RA FUN_030988-T1
Pcer_084730-RA FUN_025419-T1
Pcer_021241-RA FUN_021098-T1
Pcer_029300-RA FUN_031622-T1
Pcer_051238-RA Pfrut_101202-RA
Pcer_022857-RA FUN_023136-T1
Pcer_067739-RA FUN_039739-T1
Pcer_032570-RA FUN_013388-T1
Pcer_013996-RA FUN_005308-T1
Pcer_034126-RA FUN_015896-T1
Pcer_015350-RA FUN_007704-T1
Pcer_052207-RA FUN_012386-T1
Pcer_019918-RA FUN_018772-T1
Pcer_021358-RA FUN_021238-T1
Pcer_034915-RA FUN_017467-T1
Pcer_021762-RA FUN_021771-T1
Pcer_021901-RA FUN_021972-T1
Pcer_012846-RA FUN_003795-T1
Pcer_031005-RA FUN_033915-T1
Pcer_014929-RA FUN_006765-T1
Pcer_020508-RA FUN_019583-T1
Pcer_014301-RA FUN_005677-T1
Pcer_066326-RA FUN_037967-T1
Pcer_022658-RA FUN_022917-T1
Pcer_052741-RA FUN_012962-T1
Pcer_013377-RA FUN_004525-T1
Pcer_015108-RA FUN_006977-T1
Pcer_012388-RA FUN_002705-T1
Pcer_051563-RA FUN_011553-T1
Pcer_065915-RA FUN_037831-T1
Pcer_011729-RA FUN_001502-T1
Pcer_013962-RA FUN_005272-T1
Pcer_014406-RA FUN_005794-T1
Pcer_051163-RA FUN_011014-T1
Pcer_052743-RA FUN_012964-T1
Pcer_014179-RA FUN_005539-T1
Pcer_067817-RA FUN_039818-T1
Pcer_077807-RA FUN_027210-T1
Pcer_052661-RA FUN_012881-T1
Pcer_035086-RA FUN_017591-T1
Pcer_066800-RA FUN_038591-T1
Pcer_011911-RA FUN_001709-T1
Pcer_010943-RA FUN_000408-T1
Pcer_022550-RA FUN_022799-T1
Pcer_020551-RA FUN_019639-T1
Pcer_031380-RA FUN_034391-T1
Pcer_066429-RA FUN_038181-T1
Pcer_079352-RA FUN_030701-T1
Pcer_067343-RA FUN_039289-T1
Pcer_021835-RA FUN_021867-T1
Pcer_020182-RA FUN_019149-T1
Pcer_085759-RA FUN_026675-T1
Pcer_078879-RA FUN_030181-T1
Pcer_084295-RA FUN_024851-T1
Pcer_012859-RA FUN_003808-T1
Pcer_079646-RA FUN_031077-T1
Pcer_014382-RA FUN_005759-T1
Pcer_084318-RA FUN_024869-T1
Pcer_084237-RA FUN_024777-T1
Pcer_031220-RA FUN_034166-T1
Pcer_078042-RA FUN_028836-T1
Pcer_010923-RA FUN_000385-T1
Pcer_011522-RA FUN_001219-T1
Pcer_085387-RA FUN_026231-T1
Pcer_084773-RA FUN_025465-T1
Pcer_013011-RA FUN_004039-T1
Pcer_011547-RA FUN_001242-T1
Pcer_033169-RA FUN_014100-T1
Pcer_083671-RA FUN_023754-T1
Pcer_067041-RA FUN_038932-T1
Pcer_084584-RA FUN_025247-T1
Pcer_012929-RA FUN_003921-T1
Pcer_052604-RA FUN_012826-T1
Pcer_013254-RA FUN_004367-T1
Pcer_084329-RA FUN_024880-T1
Pcer_012818-RA FUN_003762-T1
Pcer_084168-RA FUN_024689-T1
Pcer_084485-RA FUN_025071-T1
Pcer_085597-RA FUN_026466-T1
Pcer_015193-RA FUN_007058-T1
Pcer_029161-RA FUN_031721-T1
Pcer_014219-RA FUN_005582-T1
Pcer_011943-RA FUN_001748-T1
Pcer_022745-RA FUN_023019-T1
Pcer_032560-RA FUN_013371-T1
Pcer_079365-RA FUN_030719-T1
Pcer_085428-RA FUN_026278-T1
Pcer_051109-RA FUN_010946-T1
Pcer_032940-RA FUN_013855-T1
Pcer_015029-RA FUN_006880-T1
Pcer_011818-RA FUN_001601-T1
Pcer_022007-RA FUN_022093-T1
Pcer_065820-RA FUN_037385-T1
Pcer_084770-RA FUN_025462-T1
Pcer_051001-RA FUN_010746-T1
Pcer_067171-RA FUN_039106-T1
Pcer_014323-RA FUN_005695-T1
Pcer_051567-RA FUN_011558-T1
Pcer_049804-RA FUN_008135-T1
Pcer_066448-RA FUN_038202-T1
Pcer_021818-RA FUN_021848-T1
Pcer_011307-RA FUN_000880-T1
Pcer_029295-RA FUN_031616-T1
Pcer_051421-RA FUN_011391-T1
Pcer_051445-RA FUN_011418-T1
Pcer_077411-RA Pfrut_022573-RA
Pcer_012765-RA FUN_003679-T1
Pcer_084155-RA FUN_024675-T1
Pcer_085499-RA FUN_026363-T1
Pcer_050731-RA FUN_010359-T1
Pcer_021973-RA FUN_022054-T1
Pcer_052527-RA FUN_012750-T1
Pcer_013380-RA FUN_004528-T1
Pcer_020821-RA FUN_020014-T1
Pcer_011844-RA FUN_001629-T1
Pcer_021800-RA FUN_021828-T1
Pcer_013027-RA FUN_004066-T1
Pcer_015523-RA FUN_007380-T1
Pcer_067164-RA FUN_039100-T1
Pcer_014790-RA FUN_006377-T1
Pcer_085044-RA FUN_025766-T1
Pcer_014269-RA FUN_005641-T1
Pcer_011898-RA FUN_039923-T1
Pcer_067762-RA FUN_039760-T1
Pcer_078007-RA FUN_028656-T1
Pcer_013856-RA FUN_005157-T1
Pcer_066311-RA FUN_037947-T1
Pcer_085693-RA FUN_026595-T1
Pcer_021420-RA FUN_021359-T1
Pcer_013271-RA FUN_004388-T1
Pcer_078964-RA FUN_030276-T1
Pcer_079585-RA FUN_030987-T1
Pcer_011025-RA FUN_000520-T1
Pcer_013036-RA FUN_004086-T1
Pcer_020914-RA FUN_020146-T1
Pcer_033660-RA FUN_015242-T1
Pcer_051664-RA FUN_011716-T1
Pcer_052728-RA FUN_012947-T1
Pcer_014699-RA FUN_006181-T1
Pcer_067256-RA FUN_039200-T1
Pcer_078955-RA FUN_030265-T1
Pcer_033379-RA FUN_014581-T1
Pcer_031527-RA FUN_034671-T1
Pcer_014504-RA FUN_005942-T1
Pcer_067547-RA FUN_039519-T1
Pcer_014996-RA FUN_006834-T1
Pcer_067001-RA FUN_038807-T1
Pcer_013296-RA FUN_004415-T1
Pcer_084544-RA FUN_025143-T1
Pcer_014751-RA FUN_006243-T1
Pcer_011376-RA FUN_001004-T1
Pcer_013092-RA FUN_004164-T1
Pcer_030887-RA FUN_033707-T1
Pcer_034140-RA FUN_015911-T1
Pcer_012294-RA FUN_002466-T1
Pcer_013359-RA FUN_004507-T1
Pcer_020675-RA FUN_019849-T1
Pcer_033589-RA FUN_015118-T1
Pcer_030026-RA FUN_032517-T1
Pcer_029308-RA FUN_031630-T1
Pcer_021451-RA FUN_021399-T1
Pcer_012629-RA FUN_003447-T1
Pcer_012800-RA FUN_003740-T1
Pcer_050996-RA FUN_010738-T1
Pcer_051846-RA FUN_011973-T1
Pcer_032866-RA FUN_013771-T1
Pcer_052215-RA FUN_012403-T1
Pcer_013889-RA FUN_005190-T1
Pcer_034594-RA FUN_016798-T1
Pcer_014882-RA FUN_006721-T1
Pcer_079557-RA FUN_030951-T1
Pcer_084570-RA FUN_025168-T1
Pcer_083964-RA FUN_024403-T1
Pcer_034923-RA FUN_017476-T1
Pcer_031898-RA FUN_035185-T1
Pcer_035156-RA FUN_017665-T1
Pcer_083897-RA FUN_024307-T1
Pcer_015044-RA FUN_006895-T1
Pcer_085492-RA FUN_026356-T1
Pcer_013151-RA FUN_004235-T1
Pcer_035194-RA FUN_017701-T1
Pcer_019684-RA FUN_018451-T1
Pcer_010654-RA FUN_000461-T1
Pcer_034586-RA FUN_016791-T1
Pcer_012112-RA FUN_002080-T1
Pcer_012118-RA FUN_002092-T1
Pcer_052783-RA FUN_013004-T1
Pcer_035153-RA FUN_017659-T1
Pcer_079517-RA FUN_030908-T1
Pcer_021859-RA FUN_021895-T1
Pcer_066487-RA FUN_038246-T1
Pcer_030793-RA FUN_033599-T1
Pcer_052758-RA FUN_040051-T1
Pcer_078210-RA FUN_029187-T1
Pcer_066433-RA FUN_038185-T1
Pcer_066966-RA FUN_038771-T1
Pcer_014057-RA FUN_005379-T1
Pcer_066700-RA FUN_038487-T1
Pcer_022814-RA FUN_023095-T1
Pcer_084003-RA FUN_024457-T1
Pcer_031206-RA FUN_034152-T1
Pcer_084865-RA FUN_025559-T1
Pcer_022324-RA FUN_022500-T1
Pcer_067782-RA FUN_039780-T1
Pcer_014261-RA FUN_005632-T1
Pcer_031009-RA FUN_033920-T1
Pcer_078624-RA FUN_029768-T1
Pcer_014952-RA FUN_006789-T1
Pcer_014421-RA FUN_005812-T1
Pcer_031821-RA FUN_035399-T1
Pcer_010747-RA FUN_000210-T1
Pcer_014085-RA FUN_005425-T1
Pcer_051611-RA FUN_011647-T1
Pcer_051393-RA FUN_011369-T1
Pcer_012655-RA FUN_003491-T1
Pcer_066780-RA FUN_038571-T1
Pcer_014890-RA FUN_006729-T1
Pcer_014384-RA FUN_005761-T1
Pcer_078908-RA FUN_030214-T1
Pcer_034364-RA FUN_016346-T1
Pcer_050077-RA FUN_008538-T1
Pcer_012427-RA FUN_002850-T1
Pcer_084280-RA FUN_024836-T1
Pcer_012787-RA FUN_003727-T1
Pcer_049806-RA FUN_008137-T1
Pcer_019852-RA FUN_018671-T1
Pcer_084882-RA FUN_025576-T1
Pcer_013937-RA FUN_005250-T1
Pcer_030906-RA FUN_033814-T1
Pcer_052798-RA FUN_013023-T1
Pcer_033347-RA FUN_014363-T1
Pcer_014397-RA FUN_005779-T1
Pcer_011639-RA FUN_001354-T1
Pcer_020033-RA FUN_018907-T1
Pcer_021725-RA FUN_021726-T1
Pcer_022284-RA FUN_022437-T1
Pcer_021736-RA FUN_021741-T1
Pcer_021984-RA FUN_022066-T1
Pcer_012912-RA FUN_003907-T1
Pcer_078211-RA FUN_029188-T1
Pcer_020491-RA FUN_019559-T1
Pcer_011006-RA FUN_000495-T1
Pcer_012676-RA FUN_003520-T1
Pcer_013648-RA FUN_004898-T1
Pcer_066360-RA FUN_038001-T1
Pcer_050875-RA FUN_010640-T1
Pcer_051161-RA FUN_011012-T1
Pcer_029357-RA FUN_031745-T1
Pcer_021282-RA FUN_021177-T1
Pcer_084933-RA FUN_025639-T1
Pcer_067507-RA FUN_039450-T1
Pcer_013846-RA FUN_005145-T1
Pcer_052167-RA FUN_012328-T1
Pcer_014249-RA FUN_005618-T1
Pcer_029499-RA FUN_031900-T1
Pcer_013947-RA FUN_005260-T1
Pcer_085451-RA FUN_026300-T1
Pcer_020173-RA FUN_019141-T1
Pcer_021651-RA FUN_021638-T1
Pcer_020906-RA FUN_020138-T1
Pcer_020417-RA FUN_019452-T1
Pcer_021293-RA FUN_021189-T1
Pcer_011839-RA FUN_001622-T1
Pcer_015216-RA FUN_007085-T1
Pcer_033125-RA FUN_014032-T1
Pcer_085513-RA FUN_026381-T1
Pcer_067574-RA FUN_039549-T1
Pcer_014257-RA FUN_005626-T1
Pcer_014893-RA FUN_006731-T1
Pcer_022082-RA FUN_022194-T1
Pcer_079662-RA FUN_031095-T1
Pcer_083982-RA FUN_024431-T1
Pcer_022686-RA FUN_022950-T1
Pcer_034248-RA FUN_016106-T1
Pcer_012688-RA FUN_003533-T1
Pcer_022456-RA FUN_022699-T1
Pcer_084855-RA FUN_025549-T1
Pcer_034424-RA FUN_016434-T1
Pcer_021713-RA FUN_021709-T1
Pcer_067170-RA FUN_039105-T1
Pcer_014082-RA FUN_005422-T1
Pcer_067767-RA FUN_039765-T1
Pcer_079498-RA FUN_030885-T1
Pcer_020349-RA FUN_019364-T1
Pcer_034175-RA FUN_015962-T1
Pcer_085790-RA FUN_026705-T1
Pcer_031188-RA FUN_034132-T1
Pcer_010767-RA FUN_000234-T1
Pcer_022147-RA FUN_022276-T1
Pcer_022459-RA FUN_022705-T1
Pcer_066913-RA FUN_038717-T1
Pcer_079618-RA FUN_031026-T1
Pcer_050917-RA Pfrut_028900-RA
Pcer_029633-RA FUN_032069-T1
Pcer_078811-RA FUN_030117-T1
Pcer_050484-RA FUN_009802-T1
Pcer_013828-RA FUN_005126-T1
Pcer_021129-RA FUN_020945-T1
Pcer_034307-RA FUN_016209-T1
Pcer_019556-RA FUN_018305-T1
Pcer_066420-RA FUN_038165-T1
Pcer_049703-RA FUN_008016-T1
Pcer_067247-RA FUN_039191-T1
Pcer_032910-RA FUN_013828-T1
Pcer_066755-RA FUN_038540-T1
Pcer_021720-RA FUN_021721-T1
Pcer_029540-RA FUN_031955-T1
Pcer_085688-RA FUN_026590-T1
Pcer_019613-RA FUN_018366-T1
Pcer_020613-RA FUN_019774-T1
