Marker_Name,scaffold_ID,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,LG,genetic_position,Freq
RosBREED_snp_tart_cherry_a_Pp1_00212925,HiC_scaffold_2,95.59,204,8,1,1,204,195645,195847,9.00E-88,326,204,1,0,1
RosBREED_snp_tart_cherry_a_Pp1_01404526,HiC_scaffold_2,96.57,204,4,2,1,204,1442346,1442546,2.00E-90,335,204,1,5.52,3
RosBREED_snp_tart_cherry_a_Pp1_01404526,HiC_scaffold_3,96.08,204,5,2,1,204,1133804,1134004,7.00E-89,329,204,1,5.52,3
RosBREED_snp_tart_cherry_a_Pp1_01404526,HiC_scaffold_1,93.69,206,5,5,1,204,626867,627066,2.00E-80,302,204,1,5.52,3
RosBREED_snp_tart_cherry_a_Pp1_02868963,HiC_scaffold_2,93.63,204,11,2,1,204,2981918,2982119,4.00E-81,303,204,1,10.45,3
RosBREED_snp_tart_cherry_a_Pp1_02868963,HiC_scaffold_3,94.12,204,10,2,1,204,2751752,2751953,9.00E-83,309,204,1,10.45,3
RosBREED_snp_tart_cherry_a_Pp1_02868963,HiC_scaffold_1,95.52,201,7,2,1,201,2309655,2309853,4.00E-86,320,204,1,10.45,3
RosBREED_snp_tart_cherry_a_Pp1_04612635,HiC_scaffold_1,95.15,206,7,2,1,204,4986338,4986134,1.00E-86,322,204,1,12,3
RosBREED_snp_tart_cherry_a_Pp1_04612635,HiC_scaffold_3,93.24,207,10,3,1,204,5149275,5149070,2.00E-80,302,204,1,12,3
RosBREED_snp_tart_cherry_a_Pp1_04612635,HiC_scaffold_2,94.66,206,8,2,1,204,5624245,5624041,5.00E-85,316,204,1,12,3
RosBREED_snp_tart_cherry_a_Pp1_05627922,HiC_scaffold_1,97.55,204,4,1,1,204,5772874,5773076,2.00E-94,348,204,1,12.53,3
RosBREED_snp_tart_cherry_a_Pp1_05627922,HiC_scaffold_2,96.57,204,6,1,1,204,6418746,6418948,4.00E-91,337,204,1,12.53,3
RosBREED_snp_tart_cherry_a_Pp1_05627922,HiC_scaffold_3,98.04,204,3,1,1,204,6003765,6003967,4.00E-96,353,204,1,12.53,3
RosBREED_snp_tart_cherry_a_Pp1_05691368,HiC_scaffold_1,98.04,204,3,1,1,204,5832277,5832479,4.00E-96,353,204,1,12.57,2
RosBREED_snp_tart_cherry_a_Pp1_05691368,HiC_scaffold_2,97.03,202,5,1,1,202,6478696,6478896,1.00E-91,339,204,1,12.57,2
RosBREED_snp_tart_cherry_a_Pp1_05973940,HiC_scaffold_1,97.07,205,4,2,1,204,6176406,6176609,3.00E-93,344,204,1,13.53,3
RosBREED_snp_tart_cherry_a_Pp1_05973940,HiC_scaffold_3,96.59,205,5,2,1,204,6116882,6117085,1.00E-91,339,204,1,13.53,3
RosBREED_snp_tart_cherry_a_Pp1_05973940,HiC_scaffold_2,92.65,204,6,7,2,204,6909664,6909859,2.00E-75,285,204,1,13.53,3
RosBREED_snp_tart_cherry_a_Pp1_07368812,HiC_scaffold_1,98.04,204,3,1,1,204,7765120,7765322,4.00E-96,353,204,1,17.84,3
RosBREED_snp_tart_cherry_a_Pp1_07368812,HiC_scaffold_2,97.06,204,5,1,1,204,8131293,8131495,9.00E-93,342,204,1,17.84,3
RosBREED_snp_tart_cherry_a_Pp1_07368812,HiC_scaffold_3,97.55,204,4,1,1,204,7405644,7405846,2.00E-94,348,204,1,17.84,3
RosBREED_snp_tart_cherry_a_Pp1_07674018,HiC_scaffold_3,94.06,202,5,2,2,203,7701669,7701863,6.00E-80,300,204,1,18.29,3
RosBREED_snp_tart_cherry_a_Pp1_07674018,HiC_scaffold_1,97.54,203,4,1,2,204,8139720,8139921,7.00E-94,346,204,1,18.29,3
