chr	start	end	gene
Pcer_chr3A 20613 22303 Pcer_092061-RA
Pcer_chr3A 37527 66486 Pcer_092062-RA
Pcer_chr3A 67368 70290 Pcer_092063-RA
Pcer_chr3A 88144 89520 Pcer_092064-RA
Pcer_chr3A 90182 91336 Pcer_092065-RA
Pcer_chr3A 95884 97262 Pcer_092066-RA
Pcer_chr3A 97544 104970 Pcer_092067-RA
Pcer_chr3A 108146 111064 Pcer_092068-RA
Pcer_chr3A 116532 118527 Pcer_092069-RA
Pcer_chr3A 118766 122642 Pcer_092070-RA
Pcer_chr3A 121365 123628 Pcer_092071-RA
Pcer_chr3A 144515 146694 Pcer_092072-RA
Pcer_chr3A 150974 153564 Pcer_092073-RA
Pcer_chr3A 169633 179369 Pcer_092074-RA
Pcer_chr3A 180437 184511 Pcer_092075-RA
Pcer_chr3A 185251 188398 Pcer_092076-RA
Pcer_chr3A 191103 201785 Pcer_092077-RA
Pcer_chr3A 204509 209236 Pcer_092078-RA
Pcer_chr3A 210761 212699 Pcer_092079-RA
Pcer_chr3A 215159 216736 Pcer_092080-RA
Pcer_chr3A 219251 220157 Pcer_092081-RA
Pcer_chr3A 220949 223889 Pcer_092082-RA
Pcer_chr3A 224075 225030 Pcer_092083-RA
Pcer_chr3A 228423 231499 Pcer_092084-RA
Pcer_chr3A 232892 235878 Pcer_092085-RA
Pcer_chr3A 242501 244125 Pcer_092086-RA
Pcer_chr3A 244083 252024 Pcer_092087-RA
Pcer_chr3A 252318 258641 Pcer_092088-RA
Pcer_chr3A 264138 264578 Pcer_092089-RA
Pcer_chr3A 264689 266099 Pcer_092090-RA
Pcer_chr3A 275056 275946 Pcer_092091-RA
Pcer_chr3A 276717 280118 Pcer_092092-RA
Pcer_chr3A 304145 304585 Pcer_092093-RA
Pcer_chr3A 307937 311317 Pcer_092094-RA
Pcer_chr3A 311931 318941 Pcer_092095-RA
Pcer_chr3A 323198 324962 Pcer_092096-RA
Pcer_chr3A 330503 333796 Pcer_092097-RA
Pcer_chr3A 336853 348422 Pcer_092098-RA
Pcer_chr3A 349904 350389 Pcer_092099-RA
Pcer_chr3A 353669 355411 Pcer_092100-RA
Pcer_chr3A 356010 359346 Pcer_092101-RA
Pcer_chr3A 362238 365794 Pcer_092102-RA
Pcer_chr3A 368388 369422 Pcer_092103-RA
Pcer_chr3A 374480 375277 Pcer_092104-RA
Pcer_chr3A 375832 384644 Pcer_092105-RA
Pcer_chr3A 384687 391430 Pcer_092106-RA
Pcer_chr3A 386804 388789 Pcer_092107-RA
Pcer_chr3A 389109 391792 Pcer_092108-RA
Pcer_chr3A 392164 392634 Pcer_092109-RA
Pcer_chr3A 394066 396307 Pcer_092110-RA
Pcer_chr3A 397811 401290 Pcer_092111-RA
Pcer_chr3A 402510 404106 Pcer_092112-RA
Pcer_chr3A 407653 413704 Pcer_092113-RA
Pcer_chr3A 418748 420648 Pcer_092114-RA
Pcer_chr3A 420798 423196 Pcer_092115-RA
Pcer_chr3A 423703 427090 Pcer_092116-RA
Pcer_chr3A 427254 430452 Pcer_092117-RA
Pcer_chr3A 455522 456364 Pcer_092118-RA
Pcer_chr3A 459405 464193 Pcer_092119-RA
Pcer_chr3A 466088 466348 Pcer_092120-RA
Pcer_chr3A 486923 487256 Pcer_092121-RA
Pcer_chr3A 490827 492129 Pcer_092122-RA
Pcer_chr3A 501006 501305 Pcer_092123-RA
Pcer_chr3A 502828 506127 Pcer_092124-RA
Pcer_chr3A 510175 512480 Pcer_092125-RA
Pcer_chr3A 515455 520853 Pcer_092126-RA
Pcer_chr3A 524020 527388 Pcer_092127-RA
Pcer_chr3A 527448 531459 Pcer_092128-RA
Pcer_chr3A 537617 539209 Pcer_092129-RA
Pcer_chr3A 549886 554294 Pcer_092130-RA
Pcer_chr3A 559260 565055 Pcer_092131-RA
Pcer_chr3A 565132 566699 Pcer_092132-RA
Pcer_chr3A 566881 568280 Pcer_092133-RA
Pcer_chr3A 571468 572735 Pcer_092134-RA
Pcer_chr3A 573498 580197 Pcer_092135-RA
Pcer_chr3A 583877 590649 Pcer_092136-RA
Pcer_chr3A 593141 594727 Pcer_092137-RA
Pcer_chr3A 594788 599206 Pcer_092138-RA
Pcer_chr3A 625239 632564 Pcer_092139-RA
Pcer_chr3A 632605 634380 Pcer_092140-RA
Pcer_chr3A 642879 644270 Pcer_092141-RA
Pcer_chr3A 654911 655438 Pcer_092142-RA
Pcer_chr3A 674154 677256 Pcer_092143-RA
Pcer_chr3A 678117 680658 Pcer_092144-RA
Pcer_chr3A 681406 685893 Pcer_092145-RA
Pcer_chr3A 687871 694932 Pcer_092146-RA
Pcer_chr3A 695638 697818 Pcer_092147-RA
Pcer_chr3A 711115 715052 Pcer_092148-RA
Pcer_chr3A 718821 722575 Pcer_092149-RA
Pcer_chr3A 722752 727099 Pcer_092150-RA
Pcer_chr3A 728745 730627 Pcer_092151-RA
Pcer_chr3A 731057 731584 Pcer_092152-RA
Pcer_chr3A 732676 733108 Pcer_092153-RA
Pcer_chr3A 749480 752747 Pcer_092154-RA
Pcer_chr3A 757112 764429 Pcer_092155-RA
Pcer_chr3A 769245 772739 Pcer_092156-RA
Pcer_chr3A 774657 776245 Pcer_092157-RA
Pcer_chr3A 781961 786264 Pcer_092158-RA
Pcer_chr3A 787039 787773 Pcer_092159-RA
Pcer_chr3A 787807 792128 Pcer_092160-RA
Pcer_chr3A 795037 798799 Pcer_092161-RA
Pcer_chr3A 799341 812533 Pcer_092162-RA
Pcer_chr3A 813133 817834 Pcer_092163-RA
Pcer_chr3A 817888 823703 Pcer_092164-RA
Pcer_chr3A 820647 822289 Pcer_092165-RA
Pcer_chr3A 824191 829245 Pcer_092166-RA
Pcer_chr3A 833146 839230 Pcer_092167-RA
Pcer_chr3A 843583 845033 Pcer_092168-RA
Pcer_chr3A 846454 846783 Pcer_092169-RA
Pcer_chr3A 847402 851855 Pcer_092170-RA
Pcer_chr3A 856775 857266 Pcer_092171-RA
Pcer_chr3A 859830 860266 Pcer_092172-RA
Pcer_chr3A 863820 864149 Pcer_092173-RA
Pcer_chr3A 866370 868575 Pcer_092174-RA
Pcer_chr3A 873281 873859 Pcer_092175-RA
